Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Ilmanpaine (msl) (hPa),Sademäärä (mm),Suhteellinen kosteus (%),Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Kastepistelämpötila (degC),Näkyvyys (m),Tuulen suunta (deg),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2013,11,1,00:00,UTC,6,1008.8,-1,96,0,-1,7.7,7.1,16650,213,7.6,6.1
2013,11,1,01:00,UTC,7,1008.4,-1,96,0,-1,8.2,7.6,16010,220,8.2,5.4
2013,11,1,02:00,UTC,7,1008.2,-1,93,0,-1,8.2,7.3,28500,228,8.8,6.6
2013,11,1,03:00,UTC,7,1008,-1,89,0,-1,7.9,6.2,50000,233,9.2,6
2013,11,1,04:00,UTC,8,1007.4,-1,95,0,-1,7.6,6.8,16340,229,5.9,4.4
2013,11,1,05:00,UTC,7,1006.8,0.3,97,0,-1,7.6,7.1,19390,207,6.3,4.9
2013,11,1,06:00,UTC,8,1006.4,1.4,98,2.4,-1,7.8,7.4,6510,214,6.8,5.3
2013,11,1,07:00,UTC,7,1006,1.6,96,1.3,-1,8,7.4,11760,225,10.7,7.8
2013,11,1,08:00,UTC,7,1005.7,1.2,96,0.4,-1,8,7.4,21520,221,8.5,6.2
2013,11,1,09:00,UTC,7,1005.7,0.3,96,0.7,-1,8.1,7.6,12670,228,7.5,5.6
2013,11,1,10:00,UTC,7,1004.9,0.7,97,0.4,-1,8.4,7.9,18530,215,6.4,4.8
2013,11,1,11:00,UTC,8,1004.5,0.1,97,0,-1,8.5,8.1,5330,217,8.7,6
2013,11,1,12:00,UTC,8,1004.5,0.1,97,0,-1,8.8,8.3,41760,223,9.2,6.6
2013,11,1,13:00,UTC,7,1004.7,-1,97,0,-1,8.6,8.1,12950,238,8.2,5.9
2013,11,1,14:00,UTC,4,1004.9,-1,94,0,-1,8.2,7.2,50000,245,6.7,5.1
2013,11,1,15:00,UTC,7,1004.9,-1,95,0,-1,7.7,7,42860,234,6.5,4.8
2013,11,1,16:00,UTC,7,1004.8,-1,97,0,-1,7.3,6.8,33790,211,5.4,4
2013,11,1,17:00,UTC,7,1004.3,-1,95,0,-1,7.7,6.9,33090,213,8.4,6.6
2013,11,1,18:00,UTC,7,1003.5,-1,96,0,-1,8,7.4,21960,202,7.8,5.8
2013,11,1,19:00,UTC,8,1002.9,-1,96,0,-1,8,7.4,23230,202,8.2,6
2013,11,1,20:00,UTC,8,1002.2,-1,94,0,-1,8.3,7.3,32230,212,10.5,7.2
2013,11,1,21:00,UTC,7,1001.7,0.6,96,0.5,-1,8.1,7.5,13000,219,10.4,7.1
2013,11,1,22:00,UTC,7,1001.4,1.1,94,0.7,-1,7.7,6.8,33270,219,9.8,7.2
2013,11,1,23:00,UTC,7,1001.3,-1,96,0,-1,7.6,7.1,41540,234,7.5,5.1
2013,11,2,00:00,UTC,4,1001.6,-1,95,0,-1,7.2,6.5,38100,243,7.7,5.7
2013,11,2,01:00,UTC,7,1002,-1,93,0,-1,7.1,6,50000,246,9.4,6.4
2013,11,2,02:00,UTC,7,1002.2,-1,93,0,-1,6.7,5.7,46990,231,6.4,4.8
2013,11,2,03:00,UTC,7,1002.4,-1,95,0,-1,6.2,5.4,48250,234,6,4.2
2013,11,2,04:00,UTC,7,1002.5,-1,95,0,-1,6,5.4,42620,228,6.7,5.3
2013,11,2,05:00,UTC,6,1002.8,-1,96,0,-1,5.2,4.6,35490,239,6.6,4.8
2013,11,2,06:00,UTC,7,1003,-1,97,0,-1,5.5,5,31630,232,4.5,3.8
2013,11,2,07:00,UTC,7,1003.2,-1,96,0,-1,6.3,5.7,30370,219,5.4,4.1
2013,11,2,08:00,UTC,7,1003.3,-1,94,0,-1,7,6,30070,223,4.9,3.4
2013,11,2,09:00,UTC,7,1003.6,-1,88,0,-1,7.7,5.8,33360,240,6.6,4.8
2013,11,2,10:00,UTC,6,1003.6,-1,88,0,-1,7.8,6,32260,235,7.4,5.6
